Zona;Provincia;Canton;Distrito;Circuito;Fecha Infracción;Hora Infracción;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;21/01/2014;22:30;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PROGRESO;PROGRESO;14/02/2014;20:00;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;COLIMES;BALZAR;COLIMES;19/04/2014;10:00;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;NUEVA PROSPERINA;02/03/2014;7:55;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;MARIA AUXILIADORA;31/03/2014;18:00;Asesinatos;58;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA SUR;24/01/2014;4:00;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;SALINAS;02/02/2014;20:30;Sicariatos;32;MASCULINO;UNION LIBRE;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SANTA MARTHA;05/05/2014;5:00;Asesinatos;79;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;04/01/2014;21:00;Homicidios;40;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;COCHAPAMBA;04/08/2014;13:45;Homicidios;24;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;CISNE;01/02/2014;4:45;Homicidios;40;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;05/02/2014;20:30;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;SALINAS;01/02/2014;18:10;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;02/02/2014;22:00;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;04/08/2014;19:30;Asesinatos;40;MASCULINO;NO DETERMINADO;COLOMBIA
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;04/08/2014;20:50;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;IMANTAG;13/04/2014;7:30;Asesinatos;33;MASCULINO;NO DETERMINADO;COLOMBIA
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;FLORIDA;25/01/2014;20:30;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;02/01/2014;23:30;Asesinatos;16;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;11/01/2014;3:00;Asesinatos;19;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;FLAVIO_ALFARO;CHONE;SAN FRANCISCO DE NOVILLO;18/04/2014;14:00;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SACHAS;03/01/2014;4:00;Homicidios;58;MASCULINO;DIVORCIADO;ECUADOR
ZONA 5;LOS_RIOS;MOCACHE;QUEVEDO;ALEJO LASCANO;22/03/2014;16:00;Femicidios;35;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;CHALA;07/02/2014;;Asesinatos;42;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;ANTEPARA;25/01/2014;13:00;Asesinatos;39;MASCULINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;IBARRA;CIUDAD BLANCA;AMAZONAS;01/03/2014;16:30;Homicidios;25;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;07/02/2014;22:30;Asesinatos;19;MASCULINO;SOLTERO;ECUADOR
ZONA 5;SANTA_ELENA;LA_LIBERTAD;LIBERTAD SALINAS;VIRGEN DEL CARMEN;19/03/2014;20:30;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;MUISNE;ATACAMES;CHAMANGA;09/03/2014;12:00;Asesinatos;43;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PROGRESO;PROGRESO;07/01/2014;21:00;Asesinatos;48;MASCULINO;SOLTERO;ECUADOR
ZONA 5;BOLIVAR;GUARANDA;GUARANDA;SIMIATUG;19/07/2014;10:00;Homicidios;16;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CENTRO;12/03/2014;1:00;Asesinatos;42;MASCULINO;CASADO;ECUADOR
ZONA 7;EL_ORO;HUAQUILLAS;HUAQUILLAS;UNION LOJANA;05/05/2014;22:15;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
